CUSTOMERNAME,CUSTOMER_LAST_TRANSACTION_DATE,RECENCY_VALUE,FREQUENCY_VALUE,TOTAL_QTY_ORDERED,MONETARY_VALUE,R_SCORE,F_SCORE,M_SCORE,TOTAL_RFM_SCORE,RFM_COMBINATION,CUSTOMER_SEGMENT
"Boards & Toys Co.",2005-02-08,112,2,204,18259,4,2,1,7,421,Champions
"Atelier graphique",2004-11-25,187,3,540,48360,3,3,1,7,331,Champions
"Auto-Moto Classics Inc.",2004-12-03,179,3,574,52959,3,3,1,7,331,Champions
"Microscale Inc.",2004-11-03,209,2,762,66290,2,1,1,4,211,Champions
"Royale Belge",2005-01-10,141,4,556,66880,4,5,1,10,451,Champions
"Bavarian Collectables Imports, Co.",2004-09-15,258,1,802,69988,1,1,1,3,111,"About to Sleep"
"Double Decker Gift Stores, Ltd",2004-01-22,495,2,714,72038,1,1,1,3,111,"About to Sleep"
"Cambridge Collectables Co.",2004-05-08,388,2,714,72327,1,1,1,3,111,"About to Sleep"
"West Coast Collectables Co.",2004-01-29,488,2,1022,92169,1,1,1,3,111,"About to Sleep"
"Men 'R' US Retailers, Ltd.",2004-01-09,508,2,1000,96097,1,1,1,3,111,"About to Sleep"
"CAF Imports",2004-03-19,438,2,936,99284,1,1,1,3,111,"About to Sleep"
"Signal Collectibles Ltd.",2004-02-10,476,2,1028,100437,1,1,1,3,111,"About to Sleep"
"Mini Auto Werke",2005-03-10,82,3,1064,104528,4,4,1,9,441,"Loyal Customers"
"Iberia Gift Imports, Corp.",2004-10-06,237,2,1178,109447,2,2,1,5,221,"Loyal Customers"
"Online Mini Collectables",2004-09-10,263,2,1144,114396,1,1,1,3,111,"About to Sleep"
"Gift Ideas Corp.",2004-12-04,178,3,1332,114589,3,3,1,7,331,Champions
"Clover Collections, Co.",2004-09-16,257,2,980,115513,2,2,1,5,221,"Loyal Customers"
"Australian Gift Network, Co",2005-02-02,118,3,1090,118938,4,4,1,9,441,"Loyal Customers"
"Australian Collectables, Ltd",2005-05-09,22,3,1410,129183,5,2,1,8,521,"Loyal Customers"
"Auto Assoc. & Cie.",2004-10-11,232,2,1274,129669,2,2,2,6,222,"Potential Loyalists"
"Classic Gift Ideas, Inc",2004-10-14,229,2,1336,135014,2,2,2,6,222,"Potential Loyalists"
"Osaka Souveniers Co.",2004-04-13,413,2,1384,135210,1,1,2,4,112,"Potential Loyalists"
"Daedalus Designs Imports",2004-02-21,465,2,1398,138105,1,1,2,4,112,"Potential Loyalists"
"Alpha Cognac",2005-03-28,64,3,1374,140977,4,4,2,10,442,"Potential Loyalists"
"Diecast Collectables",2004-04-26,400,2,1390,141720,1,1,2,4,112,"Potential Loyalists"
"Quebec Home Shopping Network",2005-05-01,30,3,1434,148410,5,4,2,11,542,"Potential Loyalists"
"Mini Wheels Co.",2004-11-18,194,3,1384,148952,3,3,2,8,332,"Potential Loyalists"
"Royal Canadian Collectables, Ltd.",2004-08-20,284,2,1746,149270,1,1,2,4,112,"Potential Loyalists"
"Marseille Mini Autos",2005-01-06,145,3,1608,149872,3,3,2,8,332,"Potential Loyalists"
"Petit Auto",2005-05-30,1,3,1592,149945,5,2,2,9,522,"Potential Loyalists"
"Canadian Gift Exchange Network",2004-10-22,221,2,1406,150478,2,2,2,6,222,"Potential Loyalists"
"Volvo Model Replicas, Co",2004-11-19,193,4,1294,151510,3,5,2,10,352,"Potential Loyalists"
"Classic Legends Inc.",2004-11-21,191,3,1440,155590,3,3,2,8,332,"Potential Loyalists"
giftsbymail.co.uk,2004-11-01,211,2,1790,156482,2,1,2,5,212,"Potential Loyalists"
"Enaco Distributors",2004-11-24,188,3,1764,156824,3,3,2,8,332,"Potential Loyalists"
"Lyon Souveniers",2005-03-17,75,3,1368,157141,4,4,2,10,442,"Potential Loyalists"
"Norway Gifts By Mail, Co.",2004-08-21,283,2,1574,158448,1,1,2,4,112,"Potential Loyalists"
"Super Scale Inc.",2004-05-04,392,2,1272,158944,1,1,2,4,112,"Potential Loyalists"
"Mini Caravy",2005-04-14,47,3,1558,160877,5,4,3,12,543,"Potential Loyalists"
"Collectables For Less Inc.",2005-01-20,131,3,1590,163156,4,3,3,10,433,"Promising Customers"
"Signal Gift Stores",2004-11-29,183,3,1858,165502,3,3,3,9,333,"Promising Customers"
Gifts4AllAges.com,2005-05-06,25,3,1866,166420,5,4,3,12,543,"Potential Loyalists"
"Tekni Collectables Inc.",2005-04-03,58,3,1812,166456,4,4,3,11,443,"Promising Customers"
"Motor Mint Distributors Inc.",2004-11-17,195,3,1460,167364,3,3,3,9,333,"Promising Customers"
